"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B23020_001E","Estimate!!Mean usual hours--!!Total:"
"B23020_001M","Margin of Error!!Mean usual hours--!!Total:"
"B23020_001MA","Annotation of Margin of Error!!Mean usual hours--!!Total:"
"B23020_001EA","Annotation of Estimate!!Mean usual hours--!!Total:"
"B23020_002E","Estimate!!Mean usual hours--!!Total:!!Male"
"B23020_002EA","Annotation of Estimate!!Mean usual hours--!!Total:!!Male"
"B23020_002M","Margin of Error!!Mean usual hours--!!Total:!!Male"
"B23020_002MA","Annotation of Margin of Error!!Mean usual hours--!!Total:!!Male"
"B23020_003E","Estimate!!Mean usual hours--!!Total:!!Female"
"B23020_003M","Margin of Error!!Mean usual hours--!!Total:!!Female"
"B23020_003MA","Annotation of Margin of Error!!Mean usual hours--!!Total:!!Female"
"B23020_003EA","Annotation of Estimate!!Mean usual hours--!!Total:!!Female"
